batch_size,mac_over_windows_time,mac_throughput,mac_time,matrix_size,test,throughput_unit,time_unit,windows_over_mac_throughput,windows_throughput,windows_time
,4.660920418493468,2896.8632165010304,0.04744406041994807,4096,matmul_fp32,GFLOP/s,s/op,4.660920418493469,13502.04891537232,0.010179118319999816
32,2.0273580881154074,8462.143195404453,0.0037815479200799017,,tiny_cnn_train_resident_batch,imagens/s,s/passo,2.027358088115407,17155.794449993973,0.0018652589999999236
64,1.9288544737633206,17269.368760189383,0.003705983750114683,,tiny_cnn_train_resident_batch,imagens/s,s/passo,1.9288544737633204,33310.09919215982,0.001921339220000391
128,1.925983561398228,32804.20534485665,0.003901938750059344,,tiny_cnn_train_resident_batch,imagens/s,s/passo,1.9259835613982277,63180.36023892579,0.002025946029999659
256,1.968943196784822,57986.47624042804,0.004414822499966249,,tiny_cnn_train_resident_batch,imagens/s,s/passo,1.968943196784822,114172.07789911552,0.002242229490000227
